symbol,label,aggressor,passive_response,n,ticks_p50,ticks_p90,ticks_mean,mid_chg_p50,mid_chg_p90,mid_chg_mean,repl_ratio_p50,repl_ratio_p90,repl_ratio_mean,flow_qty_p50,flow_qty_p90,flow_qty_mean
PF_XBTUSD,LOW,SELL,passive_adds,154,4.0,12.35,5.8506,-1.0,6.0,-2.513,6.2795,244.636,510.6691,0.1199,5.0,1.1945
PF_XBTUSD,LOW,SELL,passive_neutral,6,2.0,7.0,3.0,-0.5,2.0,-1.6667,36.0528,512.1669,183.6647,0.1875,2.0352,0.7497
PF_XBTUSD,LOW,SELL,passive_cancels,201,4.0,15.0,7.3184,-3.0,2.0,-5.6766,1.8803,173.8079,293.372,0.124,5.0,1.1716
PF_XBTUSD,LOW,BUY,passive_adds,150,3.75,11.0,5.03,2.0,10.1,3.19,9.3739,924.1014,1391.9407,0.0857,5.0,0.9877
PF_XBTUSD,LOW,BUY,passive_neutral,6,2.5,18.0,6.8333,1.0,17.0,5.1667,4.8084,328.5677,111.2496,0.085,0.3685,0.1625
PF_XBTUSD,LOW,BUY,passive_cancels,204,5.0,13.0,7.3652,5.0,12.0,3.4436,1.4536,461.3875,2669.1227,0.0851,5.0,0.9359
PF_XBTUSD,MEDIAN,SELL,passive_adds,155,4.0,13.0,5.9513,-3.0,2.0,-4.0162,1.0562,304.2231,381.0719,0.0311,2.0,0.4809
PF_XBTUSD,MEDIAN,SELL,passive_cancels,202,6.0,15.0,7.547,-5.0,0.0,-6.151,0.4645,98.4039,174.5924,0.1627,1.9687,0.6067
PF_XBTUSD,MEDIAN,BUY,passive_adds,160,2.0,10.0,3.9062,0.25,8.05,2.0,7.416,1435.7143,4081.0772,0.08,0.8948,0.5805
PF_XBTUSD,MEDIAN,BUY,passive_neutral,3,1.0,5.0,2.3333,1.0,5.0,2.3333,0.0,0.0231,0.0096,0.0278,0.1608,0.0825
PF_XBTUSD,MEDIAN,BUY,passive_cancels,197,5.0,13.0,6.165,5.0,12.7,5.302,0.745,256.5333,139.7575,0.08,0.5629,0.4888
PF_XBTUSD,HIGH,SELL,passive_adds,161,4.0,11.0,5.0559,0.0,7.5,-1.528,6.9252,306.2746,227.3524,0.1,0.8376,0.2971
PF_XBTUSD,HIGH,SELL,passive_neutral,5,7.5,12.2,7.7,-7.5,4.2,-4.9,259.0,1092.1772,467.6271,0.1,0.8168,0.3354
PF_XBTUSD,HIGH,SELL,passive_cancels,194,5.0,14.0,6.2526,-3.0,3.0,-4.2062,3.622,182.1072,123.5222,0.1,0.67,0.4189
PF_XBTUSD,HIGH,BUY,passive_adds,155,4.0,12.0,5.3226,2.0,10.0,2.4903,9.7888,1455.4699,5177.2307,0.0869,0.9265,0.6063
PF_XBTUSD,HIGH,BUY,passive_neutral,4,2.0,4.4,2.5,1.0,3.8,1.0,0.0,1.1305,0.4037,0.0258,0.2892,0.118
PF_XBTUSD,HIGH,BUY,passive_cancels,201,6.0,15.0,7.6875,6.0,14.1,6.3225,1.0732,989.0,3410.9936,0.0516,0.9535,0.3947
PF_ETHUSD,LOW,SELL,passive_adds,173,1.5,7.0,2.8671,-0.05,0.2,-0.0711,2.454,191.1413,226.2475,0.882,19.9344,6.8852
PF_ETHUSD,LOW,SELL,passive_cancels,197,3.0,8.0,4.0635,-0.2,0.1,-0.3358,1.4917,162.6675,545.4967,0.888,19.6188,6.5401
PF_ETHUSD,LOW,BUY,passive_adds,149,2.0,6.0,2.4564,0.1,0.42,0.1121,3.3097,71.4165,50.6437,0.479,2.043,1.3518
PF_ETHUSD,LOW,BUY,passive_cancels,209,2.0,7.0,3.7967,0.2,0.66,0.2242,2.21,207.8209,568.635,0.636,4.2128,4.2196
PF_ETHUSD,MEDIAN,SELL,passive_adds,147,2.0,5.5,2.7363,-0.15,0.175,-0.1469,0.0,175.233,1934.2866,0.077,4.9636,3.0435
PF_ETHUSD,MEDIAN,SELL,passive_cancels,217,3.0,6.2,3.4101,-0.25,0.0,-0.2968,0.0,70.3212,46.7575,0.032,3.7896,3.4413
PF_ETHUSD,MEDIAN,BUY,passive_adds,158,2.0,5.5,2.557,0.05,0.5,0.1,10.9015,303.2571,1954.4061,0.7645,4.8,2.493
PF_ETHUSD,MEDIAN,BUY,passive_cancels,202,2.0,6.5,3.2178,0.2,0.6,0.2144,9.8433,334.1347,765.7103,0.9165,9.8498,6.3648
PF_ETHUSD,HIGH,SELL,passive_adds,173,2.0,5.0,2.659,-0.2,0.14,-0.1659,0.0,134.8878,110.5226,0.484,5.32,3.8187
PF_ETHUSD,HIGH,SELL,passive_cancels,190,2.5,6.1,3.381,-0.2,0.1,-0.2476,0.0,77.7259,144.6852,0.5535,6.578,5.6266
PF_ETHUSD,HIGH,BUY,passive_adds,175,1.5,5.0,2.0914,0.0,0.4,0.068,0.0,179.3672,333.0151,0.324,4.3952,4.0321
PF_ETHUSD,HIGH,BUY,passive_cancels,205,2.0,6.0,2.7268,0.1,0.5,0.1659,0.0,140.1968,72.3133,0.412,6.1504,4.6644
