symbol,label,pressure_side,bucket,n,bid_add_p50,bid_add_p90,bid_add_mean,bid_cxl_p50,bid_cxl_p90,bid_cxl_mean,bid_net_p50,bid_net_p90,bid_net_mean,ask_add_p50,ask_add_p90,ask_add_mean,ask_cxl_p50,ask_cxl_p90,ask_cxl_mean,depth_p50,depth_p90,depth_mean,mid_chg_p50,mid_chg_p90,mid_chg_mean,ticks_p50,ticks_p90,ticks_mean,repl_ratio_p50,repl_ratio_p90,repl_ratio_mean,ask_net_p50,ask_net_p90,ask_net_mean
PF_XBTUSD,LOW,SELL,0-50%,2854,60.4061,121.3556,69.8123,59.8088,124.9477,69.5952,0.2593,8.6832,0.2172,57.4139,131.6573,70.0637,56.8142,133.5855,70.0276,304.4556,352.9876,304.3821,0.0,3.0,0.5487,0.0,3.0,0.8785,0.0,0.0,236.0173,,,
PF_XBTUSD,LOW,SELL,50-90%,385,76.7614,179.1299,97.537,76.9031,181.9047,97.1986,0.4029,10.8206,0.3384,69.6694,153.9647,87.4572,67.7489,157.2869,86.7735,293.8176,331.5105,287.536,0.0,4.0,-0.8091,1.0,9.0,2.9831,0.0,236.6,183.9808,,,
PF_XBTUSD,LOW,SELL,90-95%,181,100.53,227.2351,120.6445,95.2624,217.9237,118.5287,-0.7441,20.1663,2.1158,78.451,170.5139,97.7108,78.3833,178.9234,97.377,288.1686,349.668,288.9787,-1.0,5.0,-2.0331,3.0,11.0,4.5414,0.4639,131.6064,510.667,,,
PF_XBTUSD,LOW,SELL,95-99%,145,130.9595,279.564,155.7166,132.3987,283.4652,160.1043,-3.0008,24.7345,-4.3877,112.9951,226.7378,125.9536,107.811,224.584,124.0579,279.8338,334.0289,270.9425,-4.0,1.6,-5.1931,5.0,19.0,7.669,10.636,183.4514,250.2552,,,
PF_XBTUSD,LOW,SELL,top-1%,35,136.1279,400.968,210.2257,157.3711,363.2624,212.556,-0.4169,39.3114,-2.3302,132.9803,222.2469,146.4413,133.6992,236.2104,155.7754,238.6324,326.1657,234.0357,-5.0,1.6,-11.9143,7.0,25.5,13.0286,86.6098,419.6055,285.5734,,,
PF_XBTUSD,LOW,BUY,0-50%,3014,60.9359,144.6993,74.5736,60.4741,146.1595,74.7774,,,,56.0962,123.1369,67.1601,55.5518,127.6356,66.7776,303.6731,350.9216,303.6002,0.0,0.0,-0.6215,0.0,3.0,0.9846,0.0,0.0,20.9998,0.1667,9.3707,0.3825
PF_XBTUSD,LOW,BUY,50-90%,226,71.3505,167.6521,90.4927,69.3979,154.0397,86.9915,,,,90.5636,181.0024,102.1599,89.377,180.1148,100.4459,286.0842,338.0269,282.5183,2.0,6.75,1.6659,2.5,8.0,3.4535,0.0,210.4775,291.5293,0.9714,17.2624,1.7141
PF_XBTUSD,LOW,BUY,90-95%,180,95.0526,184.8935,112.861,92.7143,199.9569,114.517,,,,113.9128,202.0686,125.0024,115.0974,211.3017,128.081,278.1342,340.1469,275.2718,3.0,9.1,2.25,4.0,11.0,5.9167,0.0,95.9219,137.906,-1.4257,17.172,-3.0786
PF_XBTUSD,LOW,BUY,95-99%,145,100.0224,244.3703,128.7923,99.86,223.1228,123.7097,,,,132.9926,261.2502,149.724,133.6992,276.806,151.6773,288.6193,331.4606,278.2237,4.0,12.6,4.3345,5.0,14.0,6.8448,4.8364,929.0667,3034.5503,-1.8744,14.3074,-1.9533
PF_XBTUSD,LOW,BUY,top-1%,35,113.4271,210.1436,124.6755,113.5399,237.4141,130.4047,,,,123.679,203.3134,142.5112,131.1658,262.2269,151.8876,301.9612,384.9069,297.1222,4.0,16.6,5.1,5.0,16.6,6.8714,266.4222,6030.2117,8260.7643,-5.069,14.671,-9.3764
PF_XBTUSD,MEDIAN,SELL,0-50%,3107,59.0753,137.0385,71.015,58.4673,137.0312,70.3233,0.161,9.2347,0.6917,53.0275,141.4992,68.3577,51.8291,144.1195,68.1753,318.7043,346.0647,316.9356,0.0,2.2,0.6944,0.0,3.0,0.8814,0.0,0.0,165.2228,,,
PF_XBTUSD,MEDIAN,SELL,50-90%,135,87.5927,178.156,101.9129,85.2544,185.5416,101.7416,-0.513,11.5188,0.1713,72.6489,157.8511,86.1733,68.1713,168.9082,84.6501,303.3637,338.5735,305.6767,-2.0,2.0,-1.4852,2.0,6.3,2.8481,0.0,1094.8,4677.0952,,,
PF_XBTUSD,MEDIAN,SELL,90-95%,178,105.828,218.0955,125.5438,108.3209,237.2864,128.0103,0.6093,14.3174,-2.4665,87.7719,169.9372,100.9525,87.9789,172.4208,101.2641,306.1617,338.908,303.2267,-3.0,2.0,-2.9831,4.0,11.0,4.7627,0.0,148.3642,181.2769,,,
PF_XBTUSD,MEDIAN,SELL,95-99%,143,149.2878,301.1133,177.8782,154.1272,304.929,187.7864,-4.9204,9.72,-9.9082,104.2078,223.7824,128.4743,106.9108,221.6336,131.066,291.4466,331.1415,286.7238,-7.0,0.0,-8.0105,7.5,17.2,8.9965,0.8841,81.7488,401.6948,,,
PF_XBTUSD,MEDIAN,SELL,top-1%,37,103.1629,405.2931,165.6689,105.9633,380.8792,169.4634,-0.8352,18.1428,-3.7946,102.127,285.2562,137.3342,98.9791,321.0182,143.9837,309.5375,342.8447,293.9086,-2.0,2.0,-5.3108,3.0,19.9,8.6622,37.3435,245.3583,125.0131,,,
PF_XBTUSD,MEDIAN,BUY,0-50%,3006,59.6826,148.4898,75.2116,58.9277,148.7842,74.9224,,,,52.5322,124.5973,64.6423,51.4865,128.0017,63.9977,317.6815,345.1456,315.5773,0.0,0.0,-0.6475,0.0,3.0,0.9612,0.0,0.0,161.2435,0.1968,7.8591,0.6446
