symbol,label,exec_bucket,n,exec_qty_p50,exec_qty_p90,exec_qty_mean,refill_qty_p50,refill_qty_p90,refill_qty_mean,ratio_p50,ratio_p90,ratio_mean,refill_n_p50,refill_n_p90,refill_n_mean
BTC,LOW,zero,3067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,LOW,p0-50,265,0.0043,0.0168,0.0061,0.1074,4.1748,2.2556,54.5669,2331.2,3235.7832,3.0,39.2,19.4151
BTC,LOW,p50-90,214,0.0453,0.2087,0.086,0.5477,23.1125,6.7073,10.6375,299.9319,112.1015,11.0,143.0,55.3458
BTC,LOW,p90-95,27,0.5291,0.6248,0.5168,14.0729,44.0467,21.3614,28.2046,92.0689,39.5816,85.0,243.2,104.5926
BTC,LOW,p95-99,21,0.9019,1.3094,0.9553,14.2288,45.3761,20.9877,15.3212,60.7215,23.94,89.0,271.0,118.9524
BTC,LOW,top-1%,6,2.134,2.7324,2.0925,27.8354,46.0866,31.1478,16.2582,22.1605,15.8368,264.0,419.0,249.3333
BTC,MEDIAN,zero,3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,MEDIAN,p0-50,224,0.002,0.0129,0.0045,0.2052,2.7439,2.9341,100.1042,3750.5567,5459.1763,6.0,39.7,24.1027
BTC,MEDIAN,p50-90,182,0.035,0.1049,0.0521,0.2314,8.6274,3.6686,7.337,111.3373,86.3601,9.0,110.8,38.9231
BTC,MEDIAN,p90-95,23,0.2954,0.3436,0.2739,0.913,9.1446,3.2228,4.5378,27.5332,10.2349,13.0,109.0,41.6957
BTC,MEDIAN,p95-99,18,0.6407,1.0559,0.6914,3.3624,16.6305,6.7105,5.5287,25.7035,9.9263,40.0,155.0,64.8889
BTC,MEDIAN,top-1%,5,1.4176,1.9474,1.5874,8.8244,64.0431,29.0236,6.5888,46.1183,20.619,83.0,197.4,107.4
BTC,HIGH,zero,2719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,HIGH,p0-50,487,0.0038,0.0041,0.0025,0.0701,1.14,0.9497,31.1463,2964.0,4929.0187,2.0,14.0,7.0041
BTC,HIGH,p50-90,305,0.0205,0.0424,0.0224,0.2391,4.3361,2.8317,12.1314,251.0159,130.8659,8.0,39.0,22.0885
BTC,HIGH,p90-95,44,0.0822,0.1,0.0841,0.5674,21.9691,8.6044,7.0638,274.0361,106.7147,14.5,130.3,61.6364
BTC,HIGH,p95-99,36,0.2687,0.4596,0.2843,1.2493,32.4818,11.1568,3.5485,174.1272,47.456,34.5,204.0,86.3889
BTC,HIGH,top-1%,9,1.1892,1.9963,1.2838,3.4019,30.3486,12.3801,3.4982,36.1432,10.6887,37.0,154.2,61.4444
ETH,LOW,zero,3074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,LOW,p0-50,262,0.069,0.18,0.0823,1.0345,18.3428,8.0753,26.9269,1156.2962,897.2803,3.5,16.0,7.6756
ETH,LOW,p50-90,211,0.472,1.335,0.708,2.266,50.826,21.775,4.0907,65.6675,28.3751,6.0,37.0,16.654
ETH,LOW,p90-95,26,4.3385,6.8265,4.5619,45.1835,527.951,175.1284,8.6305,89.0996,40.2382,50.5,313.5,98.4615
ETH,LOW,p95-99,21,13.92,20.023,14.9996,34.651,173.427,68.357,1.8847,10.0027,5.1711,24.0,88.0,45.4286
ETH,LOW,top-1%,6,29.064,99.943,50.2115,152.132,569.575,246.714,1.7436,17.2464,6.5883,54.0,217.5,99.5
ETH,MEDIAN,zero,3206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,MEDIAN,p0-50,196,0.04,0.232,0.0978,2.402,40.5975,33.8207,59.265,1629.5185,2514.3618,6.0,41.0,20.3571
ETH,MEDIAN,p50-90,158,0.4345,1.2468,0.6292,4.753,74.9222,25.0568,8.2527,124.0367,44.152,9.0,56.6,20.6392
ETH,MEDIAN,p90-95,20,2.961,5.2532,3.2929,26.961,612.3306,179.1844,9.3219,188.0462,57.9211,40.0,198.1,78.35
ETH,MEDIAN,p95-99,16,10.9685,19.9675,12.0675,68.7505,480.2295,166.553,7.4744,41.2561,17.3611,88.0,230.0,109.125
ETH,MEDIAN,top-1%,4,37.005,39.1533,36.081,660.352,1306.1643,699.141,17.8711,33.331,18.3354,270.5,690.6,334.75
ETH,HIGH,zero,3252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,HIGH,p0-50,169,0.042,0.1322,0.0696,1.545,44.3468,17.1334,106.35,1534.7818,721.4297,3.0,18.2,9.2189
ETH,HIGH,p50-90,144,0.6325,1.8257,0.8648,3.5665,82.0366,37.6504,4.6758,110.2923,52.6781,6.0,52.0,23.6389
ETH,HIGH,p90-95,17,4.529,7.2488,5.1304,30.077,298.0068,119.0036,5.1989,59.8599,21.7245,19.0,133.2,49.2941
ETH,HIGH,p95-99,14,19.901,38.2602,23.2818,173.7025,1022.9233,322.2398,7.3766,30.5835,16.5086,64.5,459.4,168.0
ETH,HIGH,top-1%,4,93.2095,131.2592,98.6828,784.2455,4562.6397,1905.1175,9.9174,44.9258,19.2427,334.0,2494.2,1014.0
